gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708983,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708984,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708985,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708986,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708987,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708988,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708989,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708990,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708991,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708992,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708993,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708994,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708995,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708996,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708997,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708998,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708999,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709000,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709001,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709002,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709003,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709004,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709005,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709006,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709007,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709008,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709009,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2709010,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
