gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1840577,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840578,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840579,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840580,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840581,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840582,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840584,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840585,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840586,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840587,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840588,Primary visual cortex,Mus musculus,NONE,VISp,NA
