gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE95315,GSM2501959,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501960,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501961,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501962,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501963,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501964,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501965,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501966,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501967,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501968,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501969,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501970,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501971,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501972,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501973,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
